Trinity_geneID	seurat_name	Gene_short_automated	PROST_result	Musser_et_al_2021	Ruperti_et_al_2024	name_type	Zang_et_al_2026	name_source
c107567-g1	c107567-g1	c107567-g1	NA	NA	NA	trinity_only	c107567-g1	trinity_only
c107568-g1	c107568-g1 1-to-1 FBXL13 F-box and leucine rich repeat protein 13	Fbxl13	NA	NA	NA	symbol	Fbxl13	Gene_short_automated
c107569-g1	c107569-g1	c107569-g1	NA	NA	NA	trinity_only	c107569-g1	trinity_only
c107571-g1	c107571-g1	c107571-g1	NA	NA	NA	trinity_only	c107571-g1	trinity_only
c107572-g1	c107572-g1	c107572-g1	NA	NA	NA	trinity_only	c107572-g1	trinity_only
c107574-g1	c107574-g1	c107574-g1	NA	NA	NA	trinity_only	c107574-g1	trinity_only
c107575-g1	c107575-g1	c107575-g1	NA	NA	NA	trinity_only	c107575-g1	trinity_only
c107577-g1	c107577-g1	c107577-g1	NA	NA	NA	trinity_only	c107577-g1	trinity_only
c107578-g1	c107578-g1	c107578-g1	NA	NA	NA	trinity_only	c107578-g1	trinity_only
c107579-g1	c107579-g1	c107579-g1	NA	NA	NA	trinity_only	c107579-g1	trinity_only
c107580-g1	c107580-g1	c107580-g1	NA	NA	NA	trinity_only	c107580-g1	trinity_only
c107581-g1	c107581-g1	c107581-g1	NA	NA	NA	trinity_only	c107581-g1	trinity_only
c107582-g1	c107582-g1	c107582-g1	NA	NA	NA	trinity_only	c107582-g1	trinity_only
c107583-g1	c107583-g1	c107583-g1	NA	NA	NA	trinity_only	c107583-g1	trinity_only
c107584-g1	c107584-g1	c107584-g1	NA	NA	NA	trinity_only	c107584-g1	trinity_only
c107585-g1	c107585-g1	c107585-g1	NA	NA	NA	trinity_only	c107585-g1	trinity_only
c107587-g1	c107587-g1	c107587-g1	NA	NA	NA	trinity_only	c107587-g1	trinity_only
c107588-g1	c107588-g1	c107588-g1	NA	NA	NA	trinity_only	c107588-g1	trinity_only
c107589-g1	c107589-g1	c107589-g1	NA	NA	NA	trinity_only	c107589-g1	trinity_only
c107590-g1	c107590-g1	c107590-g1	NA	NA	NA	trinity_only	c107590-g1	trinity_only
c107591-g1	c107591-g1	c107591-g1	NA	NA	NA	trinity_only	c107591-g1	trinity_only
c107592-g1	c107592-g1 1-to-1 WASF1 WAS protein family member 1	Wasf1	hs-KXD1,CAVIN3	NA	NA	symbol	Wasf1	Gene_short_automated
c107593-g1	c107593-g1	c107593-g1	NA	NA	NA	trinity_only	c107593-g1	trinity_only
c107594-g1	c107594-g1	c107594-g1	NA	NA	NA	trinity_only	c107594-g1	trinity_only
c107595-g1	c107595-g1	c107595-g1	NA	NA	NA	trinity_only	c107595-g1	trinity_only
c107596-g1	c107596-g1	c107596-g1	NA	NA	NA	trinity_only	c107596-g1	trinity_only
c107597-g1	c107597-g1	c107597-g1	NA	NA	NA	trinity_only	c107597-g1	trinity_only
c107598-g1	c107598-g1	c107598-g1	NA	NA	NA	trinity_only	c107598-g1	trinity_only
c107599-g1	c107599-g1	c107599-g1	NA	NA	NA	trinity_only	c107599-g1	trinity_only
c107600-g1	c107600-g1	c107600-g1	NA	NA	NA	trinity_only	c107600-g1	trinity_only
c107601-g1	c107601-g1	c107601-g1	NA	NA	NA	trinity_only	c107601-g1	trinity_only
c107602-g1	c107602-g1	c107602-g1	NA	NA	NA	trinity_only	c107602-g1	trinity_only
c107603-g1	c107603-g1	c107603-g1	NA	NA	NA	trinity_only	c107603-g1	trinity_only
c107604-g1	c107604-g1 2-to-1 NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2	Ndufs2	NA	NA	NA	symbol	Ndufs2	Gene_short_automated
c107605-g1	c107605-g1	c107605-g1	NA	NA	NA	trinity_only	c107605-g1	trinity_only
c107606-g1	c107606-g1	c107606-g1	NA	NA	NA	trinity_only	c107606-g1	trinity_only
c107607-g1	c107607-g1	c107607-g1	NA	NA	NA	trinity_only	c107607-g1	trinity_only
c107609-g1	c107609-g1	c107609-g1	NA	NA	NA	trinity_only	c107609-g1	trinity_only
c107610-g1	c107610-g1	c107610-g1	NA	NA	NA	trinity_only	c107610-g1	trinity_only
c107612-g1	c107612-g1	c107612-g1	NA	NA	NA	trinity_only	c107612-g1	trinity_only
c107613-g1	c107613-g1 (NHL repeat) - emapper OG	NHL repeat	hs-NHLRC4	NA	NA	description	NHL repeat	Gene_short_automated
c107614-g1	c107614-g1	c107614-g1	NA	NA	NA	trinity_only	c107614-g1	trinity_only
c107615-g1	c107615-g1	c107615-g1	NA	NA	NA	trinity_only	c107615-g1	trinity_only
c107616-g1	c102145-g2 (Inherit from KOG: Transient receptor potential cation channel subfamily A member) - emapper OG	Transient receptor potentia...	hs-JKAMP,WLS,TMEM67,TM9SF3,TM9SF4,FZD2	NA	NA	description	Transient receptor potentia... I	Gene_short_automated+suffix
c107618-g1	c107618-g1	c107618-g1	NA	NA	NA	trinity_only	c107618-g1	trinity_only
c107619-g1	c107619-g1	c107619-g1	NA	NA	NA	trinity_only	c107619-g1	trinity_only
c107620-g1	c107620-g1	c107620-g1	NA	NA	NA	trinity_only	c107620-g1	trinity_only
c107621-g1	c107621-g1	c107621-g1	NA	NA	NA	trinity_only	c107621-g1	trinity_only
c107622-g1	c107622-g1	c107622-g1	NA	NA	NA	trinity_only	c107622-g1	trinity_only
c107623-g1	c107623-g1	c107623-g1	NA	NA	NA	trinity_only	c107623-g1	trinity_only
c107624-g1	c107624-g1	c107624-g1	NA	NA	NA	trinity_only	c107624-g1	trinity_only
c107625-g1	c107625-g1	c107625-g1	NA	NA	NA	trinity_only	c107625-g1	trinity_only
c107626-g1	c107626-g1	c107626-g1	NA	NA	NA	trinity_only	c107626-g1	trinity_only
c107628-g1	c107628-g1	c107628-g1	NA	NA	NA	trinity_only	c107628-g1	trinity_only
c107629-g1	c107629-g1	c107629-g1	NA	NA	NA	trinity_only	c107629-g1	trinity_only
c107630-g1	c107630-g1	c107630-g1	NA	NA	NA	trinity_only	c107630-g1	trinity_only
c107631-g1	c107631-g1	c107631-g1	NA	NA	NA	trinity_only	c107631-g1	trinity_only
c107632-g1	c107632-g1	c107632-g1	NA	NA	NA	trinity_only	c107632-g1	trinity_only
c107633-g1	c107633-g1	c107633-g1	NA	NA	NA	trinity_only	c107633-g1	trinity_only
c107634-g1	c107634-g1	c107634-g1	NA	NA	NA	trinity_only	c107634-g1	trinity_only
c107635-g1	c107635-g1	c107635-g1	NA	NA	NA	trinity_only	c107635-g1	trinity_only
c107636-g1	c107636-g1	c107636-g1	NA	NA	NA	trinity_only	c107636-g1	trinity_only
c107637-g1	c107637-g1	c107637-g1	NA	NA	NA	trinity_only	c107637-g1	trinity_only
c107638-g1	c107638-g1 COPS8 (COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)) - emapper OG	Cops8	NA	NA	NA	symbol	Cops8	Gene_short_automated
c107639-g1	c107639-g1	c107639-g1	NA	NA	NA	trinity_only	c107639-g1	trinity_only
c107640-g1	c107640-g1	c107640-g1	NA	NA	NA	trinity_only	c107640-g1	trinity_only
c107641-g1	c107641-g1	c107641-g1	NA	NA	NA	trinity_only	c107641-g1	trinity_only
c107642-g1	c107642-g1	c107642-g1	NA	NA	NA	trinity_only	c107642-g1	trinity_only
c107643-g1	c107643-g1	c107643-g1	NA	NA	NA	trinity_only	c107643-g1	trinity_only
c107644-g1	c107644-g1	c107644-g1	NA	NA	NA	trinity_only	c107644-g1	trinity_only
c107645-g1	c107645-g1	c107645-g1	NA	NA	NA	trinity_only	c107645-g1	trinity_only
c107646-g1	c107646-g1	c107646-g1	NA	NA	NA	trinity_only	c107646-g1	trinity_only
c107647-g1	c107647-g1	c107647-g1	NA	NA	NA	trinity_only	c107647-g1	trinity_only
c107648-g1	c107648-g1 (Inherit from KOG: leucine rich repeat) - emapper OG	leucine rich repeat	NA	NA	NA	description	leucine rich repeat	Gene_short_automated
c107649-g1	c107649-g1 yjjZ, Escherichia coli (strain K12)	Yjjz*	yjjZ, Escherichia coli (strain K12)	NA	NA	symbol	Yjjz*	Gene_short_automated
c107650-g1	c107650-g1	c107650-g1	NA	NA	NA	trinity_only	c107650-g1	trinity_only
c107651-g1	c107651-g1	c107651-g1	NA	NA	NA	trinity_only	c107651-g1	trinity_only
c107652-g1	c107652-g1	c107652-g1	NA	NA	NA	trinity_only	c107652-g1	trinity_only
c107653-g1	c107653-g1	c107653-g1	NA	NA	NA	trinity_only	c107653-g1	trinity_only
c107654-g1	c107654-g1 hs-FBXO48	Fbxo48*	hs-FBXO48	NA	NA	symbol	Fbxo48*	Gene_short_automated
c107655-g1	c107655-g1	c107655-g1	NA	NA	NA	trinity_only	c107655-g1	trinity_only
c107656-g1	c107656-g1	c107656-g1	NA	NA	NA	trinity_only	c107656-g1	trinity_only
c107657-g1	c107657-g1	c107657-g1	NA	NA	NA	trinity_only	c107657-g1	trinity_only
c107658-g1	c107658-g1	c107658-g1	NA	NA	NA	trinity_only	c107658-g1	trinity_only
c107659-g1	c107659-g1	c107659-g1	NA	NA	NA	trinity_only	c107659-g1	trinity_only
c107660-g1	c107660-g1 RPS25, Amaranthus cruentus	Rps25*	RPS25, Amaranthus cruentus	NA	NA	symbol	Rps25*	Gene_short_automated
c107661-g1	c107661-g1	c107661-g1	NA	NA	NA	trinity_only	c107661-g1	trinity_only
c107662-g1	c107662-g1 dsrD, Archaeoglobus fulgidus (strain ATCC 49558 / ..	Dsrd*	dsrD, Archaeoglobus fulgidus (strain ATCC 49558 / ..	NA	NA	symbol	Dsrd*	Gene_short_automated
c107663-g1	c107663-g1	c107663-g1	NA	NA	NA	trinity_only	c107663-g1	trinity_only
c107664-g1	c107664-g1	c107664-g1	NA	NA	NA	trinity_only	c107664-g1	trinity_only
c107665-g1	c107665-g1	c107665-g1	NA	NA	NA	trinity_only	c107665-g1	trinity_only
c107666-g1	c107666-g1	c107666-g1	NA	NA	NA	trinity_only	c107666-g1	trinity_only
c107667-g1	c107667-g1	c107667-g1	NA	NA	NA	trinity_only	c107667-g1	trinity_only
c107668-g1	c107668-g1	c107668-g1	NA	NA	NA	trinity_only	c107668-g1	trinity_only
c107669-g1	c107669-g1	c107669-g1	NA	NA	NA	trinity_only	c107669-g1	trinity_only
c107670-g1	c107670-g1	c107670-g1	NA	NA	NA	trinity_only	c107670-g1	trinity_only
c107671-g1	c107671-g1	c107671-g1	NA	NA	NA	trinity_only	c107671-g1	trinity_only
c107672-g1	c107672-g1	c107672-g1	NA	NA	NA	trinity_only	c107672-g1	trinity_only
c107673-g1	c107673-g1	c107673-g1	NA	NA	NA	trinity_only	c107673-g1	trinity_only
c107674-g1	c107674-g1	c107674-g1	NA	NA	NA	trinity_only	c107674-g1	trinity_only
c107676-g1	c107676-g1	c107676-g1	NA	NA	NA	trinity_only	c107676-g1	trinity_only
c107677-g1	c107677-g1	c107677-g1	NA	NA	NA	trinity_only	c107677-g1	trinity_only
c107678-g1	c107678-g1	c107678-g1	NA	NA	NA	trinity_only	c107678-g1	trinity_only
c107680-g1	c107680-g1	c107680-g1	NA	NA	NA	trinity_only	c107680-g1	trinity_only
c107681-g1	c107681-g1 ykoA, Bacillus subtilis (strain 168)	Ykoa*	ykoA, Bacillus subtilis (strain 168)	NA	NA	symbol	Ykoa*	Gene_short_automated
c107682-g1	c107682-g1	c107682-g1	NA	NA	NA	trinity_only	c107682-g1	trinity_only
c107683-g1	c107683-g1	c107683-g1	NA	NA	NA	trinity_only	c107683-g1	trinity_only
c107684-g1	c107684-g1 AtMg01250, Arabidopsis thaliana	Atmg01250*	AtMg01250, Arabidopsis thaliana	NA	NA	symbol	Atmg01250*	Gene_short_automated
c107685-g1	c107685-g1	c107685-g1	NA	NA	NA	trinity_only	c107685-g1	trinity_only
c107686-g1	c107686-g1	c107686-g1	NA	NA	NA	trinity_only	c107686-g1	trinity_only
c107687-g1	c107687-g1	c107687-g1	NA	NA	NA	trinity_only	c107687-g1	trinity_only
c107688-g1	c107688-g1	c107688-g1	NA	NA	NA	trinity_only	c107688-g1	trinity_only
c107690-g1	c107690-g1	c107690-g1	NA	NA	NA	trinity_only	c107690-g1	trinity_only
c107691-g1	c104206-g3 1-to-1 NIN ninein	Nin	hs-KASH5,NIN,CARD9,RILPL1,EFCC1	NA	NA	symbol	Nin	Gene_short_automated
c107692-g1	c107692-g1	c107692-g1	NA	NA	NA	trinity_only	c107692-g1	trinity_only
c107693-g1	c107693-g1	c107693-g1	NA	NA	NA	trinity_only	c107693-g1	trinity_only
c107694-g1	c107694-g1	c107694-g1	NA	NA	NA	trinity_only	c107694-g1	trinity_only
c107695-g1	c107695-g1	c107695-g1	NA	NA	NA	trinity_only	c107695-g1	trinity_only
c107696-g1	c107696-g1	c107696-g1	NA	NA	NA	trinity_only	c107696-g1	trinity_only
c107697-g1	c107697-g1	c107697-g1	NA	NA	NA	trinity_only	c107697-g1	trinity_only
c107698-g1	c107698-g1	c107698-g1	NA	NA	NA	trinity_only	c107698-g1	trinity_only
c107699-g1	c107699-g1	c107699-g1	NA	NA	NA	trinity_only	c107699-g1	trinity_only
c107700-g1	c107700-g1	c107700-g1	NA	NA	NA	trinity_only	c107700-g1	trinity_only
c107702-g1	c107702-g1 5-to-1 RNF213 ring finger protein 213	Rnf213	NA	NA	NA	symbol	Rnf213 J	Gene_short_automated+suffix
c107704-g1	c107704-g1	c107704-g1	NA	NA	NA	trinity_only	c107704-g1	trinity_only
c107705-g1	c107705-g1 aq_142, Aquifex aeolicus (strain VF5)	Aq_142*	aq_142, Aquifex aeolicus (strain VF5)	NA	NA	symbol	Aq_142*	Gene_short_automated
c107706-g1	c107706-g1	c107706-g1	NA	NA	NA	trinity_only	c107706-g1	trinity_only
c107707-g1	c107707-g1	c107707-g1	NA	NA	NA	trinity_only	c107707-g1	trinity_only
c107708-g1	c107708-g1	c107708-g1	NA	NA	NA	trinity_only	c107708-g1	trinity_only
c107709-g1	c107709-g1	c107709-g1	NA	NA	NA	trinity_only	c107709-g1	trinity_only
c107710-g1	c107710-g1	c107710-g1	NA	NA	NA	trinity_only	c107710-g1	trinity_only
c107711-g1	c107711-g1	c107711-g1	NA	NA	NA	trinity_only	c107711-g1	trinity_only
c107712-g1	c107712-g1	c107712-g1	NA	NA	NA	trinity_only	c107712-g1	trinity_only
c107713-g1	c107713-g1	c107713-g1	NA	NA	NA	trinity_only	c107713-g1	trinity_only
c107714-g1	c107714-g1	c107714-g1	NA	NA	NA	trinity_only	c107714-g1	trinity_only
c107715-g1	c107715-g1	c107715-g1	NA	NA	NA	trinity_only	c107715-g1	trinity_only
c107716-g1	c107716-g1	c107716-g1	NA	NA	NA	trinity_only	c107716-g1	trinity_only
c107718-g1	c107718-g1	c107718-g1	NA	NA	NA	trinity_only	c107718-g1	trinity_only
c107719-g1	c107719-g1	c107719-g1	NA	NA	NA	trinity_only	c107719-g1	trinity_only
c107720-g1	c107720-g1	c107720-g1	NA	NA	NA	trinity_only	c107720-g1	trinity_only
c107721-g1	c107721-g1	c107721-g1	NA	NA	NA	trinity_only	c107721-g1	trinity_only
c107722-g1	c107722-g1	c107722-g1	NA	NA	NA	trinity_only	c107722-g1	trinity_only
c107723-g1	c107723-g1 PGUG-03478 (C2H2 transcription factor (Seb1)) - emapper OG	Pgug-03478	hs-SNAI3,GFI1,GFI1B,SNAI1,SCRT1,KLF6,KLF2,ZFP42,KLF3,..	NA	NA	description	Pgug-03478	Gene_short_automated
c107724-g1	c107724-g1	c107724-g1	NA	NA	NA	trinity_only	c107724-g1	trinity_only
c107725-g1	c107725-g1	c107725-g1	NA	NA	NA	trinity_only	c107725-g1	trinity_only
c107726-g1	c107726-g1	c107726-g1	NA	NA	NA	trinity_only	c107726-g1	trinity_only
c107727-g1	c107727-g1	c107727-g1	NA	NA	NA	trinity_only	c107727-g1	trinity_only
c107728-g1	c107728-g1	c107728-g1	NA	NA	NA	trinity_only	c107728-g1	trinity_only
c107729-g1	c107729-g1	c107729-g1	NA	NA	NA	trinity_only	c107729-g1	trinity_only
c107730-g1	c107730-g1	c107730-g1	NA	NA	NA	trinity_only	c107730-g1	trinity_only
c107731-g1	c107731-g1	c107731-g1	NA	NA	NA	trinity_only	c107731-g1	trinity_only
c107732-g1	c107732-g1	c107732-g1	NA	NA	NA	trinity_only	c107732-g1	trinity_only
c107733-g1	c107733-g1	c107733-g1	NA	NA	NA	trinity_only	c107733-g1	trinity_only
c107734-g1	c107734-g1	c107734-g1	NA	NA	NA	trinity_only	c107734-g1	trinity_only
c107735-g1	c107735-g1	c107735-g1	NA	NA	NA	trinity_only	c107735-g1	trinity_only
c107736-g1	c107736-g1	c107736-g1	NA	NA	NA	trinity_only	c107736-g1	trinity_only
c107737-g1	c107737-g1	c107737-g1	NA	NA	NA	trinity_only	c107737-g1	trinity_only
c107738-g1	c107738-g1	c107738-g1	NA	NA	NA	trinity_only	c107738-g1	trinity_only
c107740-g1	c107740-g1	c107740-g1	NA	NA	NA	trinity_only	c107740-g1	trinity_only
c107741-g1	c107741-g1	c107741-g1	NA	NA	NA	trinity_only	c107741-g1	trinity_only
c107742-g1	c107742-g1 CDT4, Oryza sativa subsp. japonica	Cdt4*	CDT4, Oryza sativa subsp. japonica	NA	NA	symbol	Cdt4*	Gene_short_automated
c107743-g1	c107743-g1	c107743-g1	NA	NA	NA	trinity_only	c107743-g1	trinity_only
c107744-g1	c107744-g1	c107744-g1	NA	NA	NA	trinity_only	c107744-g1	trinity_only
c107745-g1	c107745-g1	c107745-g1	NA	NA	NA	trinity_only	c107745-g1	trinity_only
c107746-g1	c107746-g1	c107746-g1	NA	NA	NA	trinity_only	c107746-g1	trinity_only
c107747-g1	c107747-g1 Phxr4, Mus musculus	Phxr4*	Phxr4, Mus musculus	NA	NA	symbol	Phxr4*	Gene_short_automated
c107748-g1	c107748-g1	c107748-g1	NA	NA	NA	trinity_only	c107748-g1	trinity_only
c107749-g1	c107749-g1	c107749-g1	NA	NA	NA	trinity_only	c107749-g1	trinity_only
c107750-g1	c107750-g1	c107750-g1	NA	NA	NA	trinity_only	c107750-g1	trinity_only
c107751-g1	c107751-g1	c107751-g1	NA	NA	NA	trinity_only	c107751-g1	trinity_only
c107752-g1	c107752-g1	c107752-g1	NA	NA	NA	trinity_only	c107752-g1	trinity_only
c107753-g1	c107753-g1	c107753-g1	NA	NA	NA	trinity_only	c107753-g1	trinity_only
c107755-g1	c107755-g1	c107755-g1	NA	NA	NA	trinity_only	c107755-g1	trinity_only
c107756-g1	c107756-g1	c107756-g1	NA	NA	NA	trinity_only	c107756-g1	trinity_only
c107757-g1	c107757-g1 hs-BBLN	Bbln*	hs-BBLN	NA	NA	symbol	Bbln*	Gene_short_automated
c107758-g1	c107758-g1 8-to-1 ESPN espin	Espn	NA	NA	NA	symbol	Espn	Gene_short_automated
c107759-g1	c107759-g1	c107759-g1	NA	NA	NA	trinity_only	c107759-g1	trinity_only
c107760-g1	c107760-g1	c107760-g1	NA	NA	NA	trinity_only	c107760-g1	trinity_only
c107761-g1	c107761-g1	c107761-g1	NA	NA	NA	trinity_only	c107761-g1	trinity_only
c107762-g1	c107762-g1	c107762-g1	NA	NA	NA	trinity_only	c107762-g1	trinity_only
c107763-g1	c107763-g1	c107763-g1	NA	NA	NA	trinity_only	c107763-g1	trinity_only
c107764-g1	c107764-g1	c107764-g1	NA	NA	NA	trinity_only	c107764-g1	trinity_only
c107765-g1	c107765-g1	c107765-g1	NA	NA	NA	trinity_only	c107765-g1	trinity_only
c107766-g1	c107766-g1	c107766-g1	NA	NA	NA	trinity_only	c107766-g1	trinity_only
c107767-g1	c107767-g1	c107767-g1	NA	NA	NA	trinity_only	c107767-g1	trinity_only
c107768-g1	c107768-g1	c107768-g1	NA	NA	NA	trinity_only	c107768-g1	trinity_only
c107769-g1	c107769-g1	c107769-g1	NA	NA	NA	trinity_only	c107769-g1	trinity_only
c107770-g1	c107770-g1	c107770-g1	NA	NA	NA	trinity_only	c107770-g1	trinity_only
c107771-g1	c107771-g1	c107771-g1	NA	NA	NA	trinity_only	c107771-g1	trinity_only
c107772-g1	c107772-g1	c107772-g1	NA	NA	NA	trinity_only	c107772-g1	trinity_only
c107773-g1	c107773-g1	c107773-g1	NA	NA	NA	trinity_only	c107773-g1	trinity_only
c107774-g1	c107774-g1	c107774-g1	NA	NA	NA	trinity_only	c107774-g1	trinity_only
c107775-g1	c107775-g1	c107775-g1	NA	NA	NA	trinity_only	c107775-g1	trinity_only
c107776-g1	c107776-g1	c107776-g1	NA	NA	NA	trinity_only	c107776-g1	trinity_only
c107777-g1	c107777-g1	c107777-g1	NA	NA	NA	trinity_only	c107777-g1	trinity_only
c107778-g1	c107778-g1	c107778-g1	NA	NA	NA	trinity_only	c107778-g1	trinity_only
c107779-g1	c107779-g1	c107779-g1	NA	NA	NA	trinity_only	c107779-g1	trinity_only
c10778-g1	c10778-g1	c10778-g1	NA	NA	NA	trinity_only	c10778-g1	trinity_only
c107781-g1	c107781-g1	c107781-g1	NA	NA	NA	trinity_only	c107781-g1	trinity_only
c107782-g1	c107782-g1	c107782-g1	NA	NA	NA	trinity_only	c107782-g1	trinity_only
c107783-g1	c107783-g1	c107783-g1	NA	NA	NA	trinity_only	c107783-g1	trinity_only
c107784-g1	c107784-g1	c107784-g1	NA	NA	NA	trinity_only	c107784-g1	trinity_only
c107785-g1	c107785-g1	c107785-g1	NA	NA	NA	trinity_only	c107785-g1	trinity_only
c107786-g1	c107786-g1 NS, Influenza A virus (strain A/Tern/South Africa/..	Ns*	NS, Influenza A virus (strain A/Tern/South Africa/..	NA	NA	symbol	Ns*	Gene_short_automated
c107787-g1	c107787-g1	c107787-g1	NA	NA	NA	trinity_only	c107787-g1	trinity_only
c107789-g1	c107789-g1	c107789-g1	NA	NA	NA	trinity_only	c107789-g1	trinity_only
c107790-g1	c107790-g1	c107790-g1	NA	NA	NA	trinity_only	c107790-g1	trinity_only
c107791-g1	c107791-g1	c107791-g1	NA	NA	NA	trinity_only	c107791-g1	trinity_only
c107793-g1	c107793-g1	c107793-g1	NA	NA	NA	trinity_only	c107793-g1	trinity_only
c107795-g1	c107795-g1	c107795-g1	NA	NA	NA	trinity_only	c107795-g1	trinity_only
c107796-g1	c107796-g1	c107796-g1	NA	NA	NA	trinity_only	c107796-g1	trinity_only
c107797-g1	c107797-g1	c107797-g1	NA	NA	NA	trinity_only	c107797-g1	trinity_only
c107798-g1	c107798-g1	c107798-g1	NA	NA	NA	trinity_only	c107798-g1	trinity_only
c107799-g1	c107799-g1	c107799-g1	NA	NA	NA	trinity_only	c107799-g1	trinity_only
c107800-g1	c107800-g1 hs-ATP6V0E2,ATP6V0E1	Atp6v0e2*	hs-ATP6V0E2,ATP6V0E1	NA	NA	symbol	Atp6v0e2*	Gene_short_automated
c107801-g1	c107801-g1	c107801-g1	NA	NA	NA	trinity_only	c107801-g1	trinity_only
c107802-g1	c107802-g1	c107802-g1	NA	NA	NA	trinity_only	c107802-g1	trinity_only
c107803-g1	c107803-g1	c107803-g1	NA	NA	NA	trinity_only	c107803-g1	trinity_only
c107804-g1	c107804-g1	c107804-g1	NA	NA	NA	trinity_only	c107804-g1	trinity_only
c107806-g1	c107806-g1	c107806-g1	NA	NA	NA	trinity_only	c107806-g1	trinity_only
c107807-g1	c107807-g1	c107807-g1	NA	NA	NA	trinity_only	c107807-g1	trinity_only
c107809-g1	c107809-g1 hs-RPRM,SMIM42,FXYD2,SERTM2,SMIM5,SMIM22	Rprm*	hs-RPRM,SMIM42,FXYD2,SERTM2,SMIM5,SMIM22	NA	NA	symbol	Rprm*	Gene_short_automated
c107810-g1	c107810-g1	c107810-g1	NA	NA	NA	trinity_only	c107810-g1	trinity_only
c107811-g1	c107811-g1	c107811-g1	NA	NA	NA	trinity_only	c107811-g1	trinity_only
c107812-g1	c107812-g1	c107812-g1	NA	NA	NA	trinity_only	c107812-g1	trinity_only
c107813-g1	c107813-g1	c107813-g1	NA	NA	NA	trinity_only	c107813-g1	trinity_only
c107814-g1	c107814-g1	c107814-g1	NA	NA	NA	trinity_only	c107814-g1	trinity_only
c107815-g1	c107815-g1	c107815-g1	NA	NA	NA	trinity_only	c107815-g1	trinity_only
c107816-g1	c107816-g1	c107816-g1	NA	NA	NA	trinity_only	c107816-g1	trinity_only
c107817-g1	c107817-g1	c107817-g1	NA	NA	NA	trinity_only	c107817-g1	trinity_only
c107818-g1	c107818-g1	c107818-g1	NA	NA	NA	trinity_only	c107818-g1	trinity_only
c107819-g1	c107819-g1	c107819-g1	NA	NA	NA	trinity_only	c107819-g1	trinity_only
c107820-g1	c107820-g1	c107820-g1	NA	NA	NA	trinity_only	c107820-g1	trinity_only
c107821-g1	c107821-g1	c107821-g1	NA	NA	NA	trinity_only	c107821-g1	trinity_only
c107822-g1	c107822-g1	c107822-g1	NA	NA	NA	trinity_only	c107822-g1	trinity_only
c107823-g1	c107823-g1	c107823-g1	NA	NA	NA	trinity_only	c107823-g1	trinity_only
c107824-g1	c107824-g1	c107824-g1	NA	NA	NA	trinity_only	c107824-g1	trinity_only
c107825-g1	c104605-g1 1-to-3 LOXL4,LOXL3,LOXL2 lysyl oxidase like 4	Loxl2/3/4	Cd5l, Mus musculus	NA	NA	symbol	Loxl2/3/4	Gene_short_automated
c107826-g1	c107826-g1	c107826-g1	NA	NA	NA	trinity_only	c107826-g1	trinity_only
c107827-g1	c103788-g3 5-to-1 TTC28 tetratricopeptide repeat domain 28	Ttc28	NA	NA	NA	symbol	Ttc28	Gene_short_automated
c107828-g1	c107828-g1 vpx, Simian immunodeficiency virus agm.vervet (iso..	Vpx*	vpx, Simian immunodeficiency virus agm.vervet (iso..	NA	NA	symbol	Vpx*	Gene_short_automated
c107829-g1	c107829-g1 (serine threonine-protein phosphatase 6 regulatory ankyrin repeat subunit) - emapper OG	serine threonine-protein ph...	NA	NA	NA	description	serine threonine-protein ph... J	Gene_short_automated+suffix
c10783-g1	c10783-g1 Kr, Euscelis plebejus	Kr*	Kr, Euscelis plebejus	NA	NA	symbol	Kr*	Gene_short_automated
c107830-g1	c107830-g1	c107830-g1	NA	NA	NA	trinity_only	c107830-g1	trinity_only
c107832-g1	c107832-g1	c107832-g1	NA	NA	NA	trinity_only	c107832-g1	trinity_only
c107833-g1	c107833-g1	c107833-g1	NA	NA	NA	trinity_only	c107833-g1	trinity_only
c107834-g1	c107834-g1	c107834-g1	NA	NA	NA	trinity_only	c107834-g1	trinity_only
c107835-g1	c107835-g1	c107835-g1	NA	NA	NA	trinity_only	c107835-g1	trinity_only
c107836-g1	c107836-g1	c107836-g1	NA	NA	NA	trinity_only	c107836-g1	trinity_only
c107837-g1	c107837-g1 ONCB, Hydatigena taeniaeformis	Oncb*	ONCB, Hydatigena taeniaeformis	NA	NA	symbol	Oncb*	Gene_short_automated
c107838-g1	c107838-g1	c107838-g1	NA	NA	NA	trinity_only	c107838-g1	trinity_only
c107840-g1	c107840-g1	c107840-g1	NA	NA	NA	trinity_only	c107840-g1	trinity_only
c107841-g1	c107841-g1	c107841-g1	NA	NA	NA	trinity_only	c107841-g1	trinity_only
c107842-g1	c107842-g1	c107842-g1	NA	NA	NA	trinity_only	c107842-g1	trinity_only
c107843-g1	c107843-g1	c107843-g1	NA	NA	NA	trinity_only	c107843-g1	trinity_only
c107844-g1	c107844-g1 2-to-1 MICAL2 microtubule associated monooxygenase, calponin and LIM domain containing 2	Mical2	NA	NA	NA	symbol	Mical2	Gene_short_automated
c107845-g1	c107845-g1	c107845-g1	NA	NA	NA	trinity_only	c107845-g1	trinity_only
c107847-g1	c107847-g1	c107847-g1	NA	NA	NA	trinity_only	c107847-g1	trinity_only
c107848-g1	c107848-g1	c107848-g1	NA	NA	NA	trinity_only	c107848-g1	trinity_only
